"","player_name","web_scraped_team","dob","height"
"350","Rory Atkins","Gold Coast Suns",1994-07-12,186
"351","Charlie Ballard","Gold Coast Suns",1999-07-23,195
"352","Jack Bowes","Gold Coast Suns",1998-01-26,187
"353","Will Brodie","Gold Coast Suns",1998-08-23,189
"354","Connor Budarick","Gold Coast Suns",2001-04-06,175
"355","Chris Burgess","Gold Coast Suns",1995-11-26,191
"356","Samuel Collins","Gold Coast Suns",1994-06-15,194
"357","Matt Conroy","Gold Coast Suns",2000-07-11,199
"358","Josh Corbett","Gold Coast Suns",1996-04-23,190
"359","Sam Day","Gold Coast Suns",1992-09-06,197
"360","Brandon Ellis","Gold Coast Suns",1993-08-03,181
"361","Jy Farrar","Gold Coast Suns",2001-12-07,191
"362","Brayden Fiorini","Gold Coast Suns",1997-08-22,186
"363","Sam Flanders","Gold Coast Suns",2001-07-24,182
"364","Aiden Fyfe","Gold Coast Suns",NA,NA
"365","Caleb Graham","Gold Coast Suns",2000-09-12,195
"366","Hugh Greenwood","Gold Coast Suns",1992-03-06,191
"367","Jarrod Harbrow","Gold Coast Suns",1988-07-18,178
"368","Elijah Hollands","Gold Coast Suns",2002-04-25,189
"369","Nicholas Holman","Gold Coast Suns",1995-05-29,189
"370","Jack Hombsch","Gold Coast Suns",1993-03-07,194
"371","Ben King","Gold Coast Suns",2000-07-07,202
"372","Sean Lemmens","Gold Coast Suns",1994-11-02,184
"373","Jack Lukosius","Gold Coast Suns",2000-08-09,195
"374","Darcy Macpherson","Gold Coast Suns",1997-10-29,174
"375","Oleg Markov","Gold Coast Suns",1996-05-08,188
"376","Jez McLennan","Gold Coast Suns",2000-09-07,185
"377","Touk Miller","Gold Coast Suns",1996-02-22,178
"378","Jordan Murdoch","Gold Coast Suns",1992-03-23,190
"379","Patrick Murtagh","Gold Coast Suns",2000-02-11,196
"380","Rhys Nicholls","Gold Coast Suns",NA,NA
"381","Hewago Oea","Gold Coast Suns",NA,NA
"382","Wil Powell","Gold Coast Suns",1999-08-26,185
"383","Izak Rankine","Gold Coast Suns",2000-04-23,179
"384","Malcolm Rosas","Gold Coast Suns",2001-06-27,175
"385","Matt Rowell","Gold Coast Suns",2001-07-01,178
"386","Alex Sexton","Gold Coast Suns",1993-12-03,186
"387","Jeremy Sharp","Gold Coast Suns",2001-08-13,187
"388","Zac Smith","Gold Coast Suns",1990-02-22,206
"389","David Swallow","Gold Coast Suns",1992-11-19,185
"390","Rory Thompson","Gold Coast Suns",1991-03-12,200
"391","Luke Towey","Gold Coast Suns",1999-07-11,186
"392","Jacob Townsend","Gold Coast Suns",1993-06-20,187
"393","Lachlan Weller","Gold Coast Suns",1996-02-23,181
"394","Jarrod Witts","Gold Coast Suns",1992-09-13,209
"395","Luke Breust","Hawthorn Hawks",1990-11-11,184
"396","Tyler Brockman","Hawthorn Hawks",NA,NA
"397","Keegan Brooksby","Hawthorn Hawks",1990-04-27,197
"398","Shaun Burgoyne","Hawthorn Hawks",1982-10-21,186
"399","Jonathon Ceglar","Hawthorn Hawks",1991-02-14,204
"400","James Cousins","Hawthorn Hawks",1998-03-19,185
"401","Will Day","Hawthorn Hawks",2001-06-05,187
"402","Connor Downie","Hawthorn Hawks",2002-05-31,185
"403","Sam Frost","Hawthorn Hawks",1993-08-28,194
"404","Denver Grainger-Barras","Hawthorn Hawks",2002-04-17,195
"405","Damon Greaves","Hawthorn Hawks",2000-04-25,186
"406","Jack Gunston","Hawthorn Hawks",1991-10-16,193
"407","Oliver Hanrahan","Hawthorn Hawks",1998-08-27,181
"408","Blake Hardwick","Hawthorn Hawks",1997-02-05,181
"409","Kyle Hartigan","Hawthorn Hawks",1991-11-07,194
"410","Michael Hartley","Hawthorn Hawks",1993-06-07,198
"411","Daniel Howe","Hawthorn Hawks",1995-12-04,191
"412","Jarman Impey","Hawthorn Hawks",1995-07-09,178
"413","Emerson Jeka","Hawthorn Hawks",2001-09-18,197
"414","Changkuoth Jiath","Hawthorn Hawks",1999-06-13,185
"415","Jacob Koschitzke","Hawthorn Hawks",2000-07-11,196
"416","Mitchell Lewis","Hawthorn Hawks",1998-10-14,198
"417","Finn Maginness","Hawthorn Hawks",2001-02-23,187
"418","Ben McEvoy","Hawthorn Hawks",1989-07-11,200
"419","Seamus Mitchell","Hawthorn Hawks",2002-07-03,181
"420","Tom Mitchell","Hawthorn Hawks",1993-05-31,182
"421","Dylan Moore","Hawthorn Hawks",1999-08-04,176
"422","Josh Morris","Hawthorn Hawks",2001-11-07,186
"423","Harry Morrison","Hawthorn Hawks",1998-11-12,180
"424","Conor Nash","Hawthorn Hawks",1998-07-28,197
"425","Tim O'Brien","Hawthorn Hawks",1994-03-28,193
"426","Jaeger O'Meara","Hawthorn Hawks",1994-02-23,183
"427","Jonathon Patton","Hawthorn Hawks",1993-05-20,198
"428","Harry Pepper","Hawthorn Hawks",2001-08-09,180
"429","Tom Phillips","Hawthorn Hawks",1996-05-07,187
"430","Ned Reeves","Hawthorn Hawks",1998-10-31,208
"431","Jack Saunders","Hawthorn Hawks",NA,NA
"432","Jack Scrimshaw","Hawthorn Hawks",1998-09-04,193
"433","Tom Scully","Hawthorn Hawks",1991-05-15,181
"434","Liam Shiels","Hawthorn Hawks",1991-04-29,183
"435","James Sicily","Hawthorn Hawks",1995-01-06,186
"436","Isaac Smith","Hawthorn Hawks",1988-12-30,188
"437","Chad Wingard","Hawthorn Hawks",1993-07-29,183
"438","James Worpel","Hawthorn Hawks",1999-01-24,185
"439","Oskar Baker","Melbourne Demons",1998-05-25,184
"440","Toby Bedford","Melbourne Demons",2000-05-27,178
"441","Jake Bowey","Melbourne Demons",2002-09-12,175
"442","Austin Bradtke","Melbourne Demons",2000-05-27,204
"443","Angus Brayshaw","Melbourne Demons",1996-01-09,187
"444","Ben Brown","Melbourne Demons",1992-11-20,200
"445","Mitchell Brown","Melbourne Demons",1990-08-28,196
"446","Kade Chandler","Melbourne Demons",2000-01-13,174
"447","Bayley Fritsch","Melbourne Demons",1996-12-06,188
"448","Max Gawn","Melbourne Demons",1991-12-30,208
"449","James Harmes","Melbourne Demons",1995-10-05,185
"450","Michael Hibberd","Melbourne Demons",1990-01-03,186
"451","Marty Hore","Melbourne Demons",1996-03-05,190
"452","Jayden Hunt","Melbourne Demons",1995-04-03,187
"453","Luke Jackson","Melbourne Demons",2001-09-29,198
"454","Neville Jetta","Melbourne Demons",1990-02-12,180
"455","Nathan Jones","Melbourne Demons",1988-01-20,180
"456","James Jordan","Melbourne Demons",2000-12-20,186
"457","Ed Langdon","Melbourne Demons",1996-02-01,182
"458","Bailey Laurie","Melbourne Demons",2002-03-24,179
"459","Jake Lever","Melbourne Demons",1996-03-05,195
"460","Jay Lockhart","Melbourne Demons",1996-02-03,177
"461","Steven May","Melbourne Demons",1992-01-10,193
"462","Tom McDonald","Melbourne Demons",1992-09-18,194
"463","Jake Melksham","Melbourne Demons",1991-08-29,186
"464","Alex Neal-Bullen","Melbourne Demons",1996-01-09,182
"465","Aaron Nietschke","Melbourne Demons",2000-05-26,184
"466","Clayton Oliver","Melbourne Demons",1997-07-22,187
"467","Christian Petracca","Melbourne Demons",1996-01-04,186
"468","Harrison Petty","Melbourne Demons",1999-11-12,197
"469","Kysaiah Pickett","Melbourne Demons",2001-06-02,170
"470","Trent Rivers","Melbourne Demons",2001-07-30,188
"471","Fraser Rosman","Melbourne Demons",2002-05-30,193
"472","Christian Salem","Melbourne Demons",1995-07-15,183
