"","player_name","web_scraped_team","dob","height"
"42","Michael Doughty","Adelaide",1979-08-05,177
"43","Richard Douglas","Adelaide",1987-02-06,181
"44","Ben Dowdell","Adelaide",1988-09-27,200
"45","Ian Downsborough","Adelaide",1972-01-19,192
"46","Andrew Eccles","Adelaide",1979-06-01,187
"47","Jackson Edwards","Adelaide",1999-10-11,185
"48","Tyson Edwards","Adelaide",1976-08-06,178
"49","Shane Ellen","Adelaide",1973-01-01,188
"50","Sam Elliott","Adelaide",1987-07-22,179
"51","Ashley Fernee","Adelaide",1977-06-24,196
"52","Grantley Fielke","Adelaide",1962-03-18,178
"53","Ryan Fitzgerald","Adelaide",1976-10-16,199
"54","David Gallagher","Adelaide",1980-08-05,183
"55","James Gallagher","Adelaide",1979-11-17,176
"56","Greg Gallman","Adelaide",1988-12-06,187
"57","Jordan Gallucci","Adelaide",1998-05-04,182
"58","Chad Gibson","Adelaide",1987-01-12,195
"59","Sam Gibson","Adelaide",1986-05-27,185
"60","Nick Gill","Adelaide",1982-08-25,194
"61","Tom Gilligan","Adelaide",1978-11-03,198
"62","Matthew Golding","Adelaide",1980-12-30,196
"63","Simon Goodwin","Adelaide",1976-12-26,185
"64","Dean Gore","Adelaide",1996-06-26,183
"65","Angus Graham","Adelaide",1987-04-16,201
"66","Jonathon Griffin","Adelaide",1986-01-14,201
"67","Mitchell Grigg","Adelaide",1993-01-02,183
"68","Chris Groom","Adelaide",1973-08-28,194
"69","Tony Hall","Adelaide",1964-09-16,183
"70","Curtly Hampton","Adelaide",1993-03-10,185
"71","Ben Hart","Adelaide",1974-07-09,190
"72","Darel Hart","Adelaide",1964-01-03,178
"73","Ricky Henderson","Adelaide",1988-09-11,188
"74","Trent Hentschel","Adelaide",1982-12-25,193
"75","Lucas Herbert","Adelaide",1977-09-13,198
"76","Evan Hewitt","Adelaide",1978-07-07,193
"77","John Hinge","Adelaide",1986-06-06,187
"78","Eddie Hocking","Adelaide",1970-01-06,168
"79","Scott Hodges","Adelaide",1968-04-26,188
"80","Dean Howard","Adelaide",1976-07-29,179
"81","Ben Hudson","Adelaide",1979-02-24,199
"82","Danny Hughes","Adelaide",1986-10-12,186
"83","Paul Hunter","Adelaide",1993-02-09,200
"84","Anthony Ingerson","Adelaide",1969-10-13,193
"85","Jarrhan Jacky","Adelaide",1989-04-05,179
"86","Sam Jacobs","Adelaide",1988-04-10,200
"87","Matthew Jaensch","Adelaide",1989-09-18,182
"88","Brett James","Adelaide",1972-12-15,176
"89","Rod Jameson","Adelaide",1970-06-30,185
"90","Andrew Jarman","Adelaide",1966-01-14,177
"91","Ben Jarman","Adelaide",1998-05-05,174
"92","Darren Jarman","Adelaide",1967-01-28,186
"93","Luke Jericho","Adelaide",1984-10-18,190
"94","Graham Johncock","Adelaide",1982-10-21,178
"95","Kane Johnson","Adelaide",1978-03-15,186
"96","Lewis Johnston","Adelaide",1991-03-03,193
"97","Nicholas Joyce","Adelaide",1993-09-28,184
"98","Aaron Keating","Adelaide",1974-05-24,200
"99","Matthew Kelly","Adelaide",1971-07-02,187
"100","Sam Kerridge","Adelaide",1993-04-26,187
"101","Aaron Kite","Adelaide",1990-01-13,190
"102","Tim Klaosen","Adelaide",1989-11-22,197
"103","John Klug","Adelaide",1965-09-28,188
"104","Matthew Kluzek","Adelaide",1973-04-03,187
"105","Riley Knight","Adelaide",1995-03-27,181
"106","Chris Knights","Adelaide",1986-09-25,184
"107","Kym Koster","Adelaide",1973-02-01,182
"108","Joshua Krueger","Adelaide",1983-10-27,197
"109","Christopher Ladhams","Adelaide",1980-10-24,179
"110","Clayton Lamb","Adelaide",1964-07-01,185
"111","Scott Lee","Adelaide",1963-06-05,178
"112","Thomas Lee","Adelaide",1991-01-02,194
"113","Bruce Lindner","Adelaide",1961-06-20,185
"114","Bruce Lindsay","Adelaide",1961-07-22,178
"115","Matthew Liptak","Adelaide",1970-04-30,178
"116","Luke Lowden","Adelaide",1991-02-22,206
"117","Joshua Mail","Adelaide",1974-12-18,172
"118","Ivan Maric","Adelaide",1986-01-04,200
"119","Ben Marsh","Adelaide",1976-07-09,201
"120","David Marshall","Adelaide",1960-06-30,177
"121","Brodie Martin","Adelaide",1988-11-06,180
"122","Sam Martyn","Adelaide",1992-04-07,186
"123","Kris Massie","Adelaide",1980-05-30,188
"124","Martin Mattner","Adelaide",1982-08-06,188
"125","Rodney Maynard","Adelaide",1966-09-21,188
"126","Jason McCartney","Adelaide",1974-03-14,191
"127","Chris McDermott","Adelaide",1963-11-04,182
"128","Ken McGregor","Adelaide",1981-01-29,195
"129","Tony McGuinness","Adelaide",1964-05-06,176
"130","Andrew McIntyre","Adelaide",1987-03-10,190
"131","Peter McIntyre","Adelaide",1967-01-06,194
"132","Tim McIntyre","Adelaide",1989-04-09,176
"133","Martin McKinnon","Adelaide",1975-07-05,189
"134","Andrew McLeod","Adelaide",1976-08-04,181
"135","John Meesen","Adelaide",1986-06-20,200
"136","Troy Menzel","Adelaide",1994-09-22,187
"137","Mark Mickan","Adelaide",1961-01-30,196
"138","Timothy Milera","Adelaide",1992-03-09,171
"139","Tony Modra","Adelaide",1969-03-01,188
"140","Brad Moran","Adelaide",1986-09-29,201
"141","James Moss","Adelaide",1989-11-19,186
"142","Michael Murphy","Adelaide",1965-09-08,188
"143","Romano Negri","Adelaide",1964-09-30,204
"144","Ben Nelson","Adelaide",1977-01-23,184
"145","Ryan Nye","Adelaide",1986-06-21,183
"146","Alan Obst","Adelaide",1987-05-19,192
"147","Ricky O'Loughlin","Adelaide",1979-07-04,183
"148","Trent Ormond-Allen","Adelaide",1976-06-11,180
"149","Dylan Orval","Adelaide",1993-07-29,191
"150","Jack Osborn","Adelaide",1990-04-29,205
"151","Andy Otten","Adelaide",1989-05-15,192
"152","Paul Patterson","Adelaide",1965-09-28,189
"153","Andrew Payze","Adelaide",1966-08-25,178
"154","Ian Perrie","Adelaide",1979-04-09,193
"155","Nick Pesch","Adelaide",1974-06-25,173
"156","Jared Petrenko","Adelaide",1989-12-22,178
"157","Darren Pfeiffer","Adelaide",1987-09-28,183
"158","Lance Picioane","Adelaide",1980-06-07,183
"159","David Pittman","Adelaide",1969-02-23,201
"160","James Podsiadly","Adelaide",1981-09-10,193
"161","Myles Poholke","Adelaide",1998-07-10,186
"162","Jason Porplyzia","Adelaide",1984-11-27,177
"163","Matthew Powell","Adelaide",1973-09-27,175
"164","Keenan Ramsey","Adelaide",1996-08-23,192
"165","Tom Redden","Adelaide",1987-06-18,190
"166","Shaun Rehn","Adelaide",1971-08-17,203
"167","Brent Reilly","Adelaide",1983-11-12,183
"168","Mark Ricciuto","Adelaide",1975-06-08,184
"169","Adam Richardson","Adelaide",1974-08-20,194
"170","Aidan Riley","Adelaide",1991-12-13,182
"171","Chad Rintoul","Adelaide",1974-07-31,180
"172","Lachlan Roach","Adelaide",1992-04-25,178
"173","Matthew Robran","Adelaide",1971-03-19,194
"174","Jonathon Ross","Adelaide",1973-11-03,193
"175","Paul Rouvray","Adelaide",1972-04-18,189
"176","Stephen Rowe","Adelaide",1965-11-03,178
"177","Ben Rutten","Adelaide",1983-05-28,190
"178","Adam Saliba","Adelaide",1972-07-14,176
"179","Clay Sampson","Adelaide",1976-02-24,178
"180","Brenton Sanderson","Adelaide",1974-02-27,185
"181","Daniel Schell","Adelaide",1980-01-20,192
"182","Chris Schmidt","Adelaide",1989-03-20,190
"183","Jacob Schuback","Adelaide",1983-11-28,180
"184","Steven Schwerdt","Adelaide",1968-05-28,178
"185","James Sellar","Adelaide",1989-03-24,196
"186","Sam Shaw","Adelaide",1991-04-05,193
"187","Matthew Shir","Adelaide",1981-09-12,183
"188","Robert Shirley","Adelaide",1980-06-09,184
"189","Sam Siggins","Adelaide",1994-03-20,195
"190","Matthew Signorello","Adelaide",1998-10-30,186
"191","Hayden Skipworth","Adelaide",1983-02-25,177
"192","Nigel Smart","Adelaide",1969-05-21,188
"193","Darren Smith","Adelaide",1965-02-09,193
"194","Matthew Smith","Adelaide",1983-03-29,194
"195","Alex Spina","Adelaide",1995-06-27,181
"196","Barry Standfield","Adelaide",1970-02-13,193
"197","Tyson Stenglein","Adelaide",1980-07-16,189
"198","Linden Stevens","Adelaide",1978-06-13,186
"199","Mark Stevens","Adelaide",1975-10-25,194
"200","Scott Stevens","Adelaide",1982-01-15,195
"201","Brad Sugars","Adelaide",1987-03-13,187
"202","Brad Symes","Adelaide",1985-03-07,186
"203","Richard Tambling","Adelaide",1986-09-12,180
"204","Sean Tasker","Adelaide",1968-06-18,188
"205","Ayce Taylor","Adelaide",2000-09-26,190
"206","James Thiessen","Adelaide",1974-02-10,180
"207","Luke Thompson","Adelaide",1991-02-08,194
"208","Robert Thompson","Adelaide",1967-10-22,182
"209","Scott Thompson","Adelaide",1983-03-14,185
"210","Kurt Tippett","Adelaide",1987-05-08,202
"211","Shane Tongerie","Adelaide",1971-02-10,184
"212","Jason Torney","Adelaide",1977-06-16,187
"213","Simon Tregenza","Adelaide",1971-03-09,182
"214","James Turner","Adelaide",1988-09-08,190
"215","Peter Turner","Adelaide",1974-01-23,194
"216","Nathan Van Berlo","Adelaide",1986-06-06,184
"217","Peter Vardy","Adelaide",1976-01-26,181
"218","Bernie Vince","Adelaide",1985-10-02,186
"219","Mark Viska","Adelaide",1971-04-29,178
"220","Jake von Bertouch","Adelaide",1992-05-04,192
"221","Tom Warhurst","Adelaide",1963-02-17,192
"222","Fergus Watts","Adelaide",1985-09-21,197
"223","Wayne Weidemann","Adelaide",1966-10-21,182
"224","Sean Wellman","Adelaide",1974-09-20,193
"225","Scott Welsh","Adelaide",1978-12-07,188
"226","Harrison Wigg","Adelaide",1996-10-16,180
"227","Stuart Wigney","Adelaide",1969-04-19,191
"228","Brent Williams","Adelaide",1978-02-13,190
"229","Anthony Wilson","Adelaide",1992-08-02,181
"230","Patrick Wilson","Adelaide",1994-12-11,188
"231","Darryl Wintle","Adelaide",1976-04-07,179
"232","Matthew Wright","Adelaide",1989-12-14,178
"233","Will Young","Adelaide",1990-08-03,194
"234","Jed Adcock","Brisbane",1985-11-15,183
"235","Matthew AhMat","Brisbane",1974-06-27,175
"236","Jason Akermanis","Brisbane",1977-02-24,177
"237","Colin Alexander","Brisbane",1970-04-12,178
"238","Marcus Allan","Brisbane",1986-05-23,181
"239","Jacob Allison","Brisbane",1998-04-16,195
"240","Marcus Ashcroft","Brisbane",1971-09-25,184
"241","Jayden Attard","Brisbane",1986-02-27,187
"242","Matt Austin","Brisbane",1989-03-30,186
"243","David Bain","Brisbane",1966-05-02,176
"244","Travis Baird","Brisbane",1986-07-25,192
"245","Scott Bamford","Brisbane",1974-06-23,183
"246","Peter Banfield","Brisbane",1965-01-21,177
"247","Todd Banfield","Brisbane",1990-06-28,183
"248","John Barker","Brisbane",1975-02-19,194
"249","Jake Barrett","Brisbane",1995-11-08,183
"250","Callum Bartlett","Brisbane",1991-06-19,179
"251","Trent Bartlett","Brisbane",1976-11-26,189
"252","Ryan Bastinac","Brisbane",1991-06-22,184
"253","Claye Beams","Brisbane",1991-09-01,183
"254","Dayne Beams","Brisbane",1990-02-12,187
"255","Hugh Beasley","Brisbane",1995-11-12,191
"256","Tony Beckett","Brisbane",1960-06-26,182
"257","Colm Begley","Brisbane",1986-08-31,188
"258","Corey Bell","Brisbane",1973-01-24,170
"259","Tom Bell","Brisbane",1991-06-13,188
"260","Rohan Bewick","Brisbane",1989-10-10,185
"261","Andrew Bews","Brisbane",1964-07-19,175
"262","Simon Black","Brisbane",1979-04-03,185
"263","Craig Bolton","Brisbane",1980-05-31,189
"264","Damian Bourke","Brisbane",1965-01-19,199
"265","Jordon Bourke","Brisbane",1994-11-11,193
"266","Brad Boyd","Brisbane",1971-08-10,186
"267","Daniel Bradshaw","Brisbane",1978-11-21,190
"268","Darren Bradshaw","Brisbane",1980-11-05,185
"269","Jared Brennan","Brisbane",1984-07-28,195
"270","Jonathan Brown","Brisbane",1981-10-29,194
"271","Amon Buchanan","Brisbane",1982-10-10,179
"272","Mark Buckley","Brisbane",1962-08-25,190
"273","Nathan Buckley","Brisbane",1972-07-26,186
"274","David Calthorpe","Brisbane",1973-08-17,179
"275","David Cameron","Brisbane",1964-04-04,185
"276","Matthew Campbell","Brisbane",1964-01-30,188
"277","Warwick Capper","Brisbane",1963-06-12,190
"278","Blake Caracella","Brisbane",1977-03-15,186
"279","Stefan Carey","Brisbane",1976-01-25,197
"280","Darren Carlson","Brisbane",1967-05-06,180
"281","Nick Carter","Brisbane",1978-04-28,179
"282","Kevin Caton","Brisbane",1965-10-05,183
"283","Richard Champion","Brisbane",1968-04-14,186
"284","Nathan Chapman","Brisbane",1975-05-07,189
"285","Jamie Charman","Brisbane",1982-07-16,200
"286","Allen Christensen","Brisbane",1991-05-19,176
"287","Leonard Clark","Brisbane",1983-08-23,203
"288","Mitchell Clark","Brisbane",1987-10-19,200
"289","Justin Clarke","Brisbane",1993-11-18,195
"290","Matthew Clarke","Brisbane",1973-09-18,200
"291","Nathan Clarke","Brisbane",1979-10-27,186
"292","Troy Clarke","Brisbane",1969-06-08,173
"293","Xavier Clarke","Brisbane",1983-09-28,181
"294","Josh Clayton","Brisbane",1996-01-17,191
"295","Shane Clayton","Brisbane",1978-10-24,186
"296","Michael Close","Brisbane",1994-07-30,197
"297","Scott Clouston","Brisbane",1987-02-02,194
"298","Tom Collier","Brisbane",1989-03-25,192
"299","Isaac Conway","Brisbane",1995-05-29,185
"300","Robert Copeland","Brisbane",1981-05-26,187
"301","Shannon Corcoran","Brisbane",1971-02-22,182
"302","Aaron Cornelius","Brisbane",1990-05-29,192
"303","Anthony Corrie","Brisbane",1984-06-22,186
"304","Cedric Cox","Brisbane",1997-08-19,183
"305","Darryl Cox","Brisbane",1961-01-26,192
"306","Daniel Craven","Brisbane",1967-05-03,162
"307","Damian Cupido","Brisbane",1982-03-11,184
"308","Peter Curran","Brisbane",1962-07-15,192
"309","Bradd Dalziell","Brisbane",1987-03-15,184
"310","Peter Davidson","Brisbane",1963-08-29,183
"311","Liam Dawson","Brisbane",1996-01-23,189
"312","Danny Dickfos","Brisbane",1970-09-30,188
"313","Dale Dickson","Brisbane",1962-07-03,180
"314","Robert Dickson","Brisbane",1963-11-14,182
"315","Josh Drummond","Brisbane",1983-04-19,189
"316","Frank Dunell","Brisbane",1958-03-17,185
"317","Jamie Duursma","Brisbane",1963-11-14,190
"318","Josh Dyson","Brisbane",1991-08-12,181
"319","Daniel Dzufer","Brisbane",1988-01-21,187
"320","Rodney Eade","Brisbane",1958-04-04,183
"321","Matt Eagles","Brisbane",1990-02-09,200
"322","Jim Edmond","Brisbane",1958-09-03,183
"323","Bradley Edwards","Brisbane",1968-02-22,190
"324","Billy Evans","Brisbane",1996-10-19,187
"325","Craig Evans","Brisbane",1965-02-26,175
"326","Brendan Fevola","Brisbane",1981-01-20,191
"327","John Fidge","Brisbane",1966-05-04,182
"328","Ben Fixter","Brisbane",1981-06-23,180
"329","Adrian Fletcher","Brisbane",1969-10-10,178
"330","Luke Forsyth","Brisbane",1987-02-02,187
"331","Fabian Francis","Brisbane",1973-10-24,177
"332","Jonathan Freeman","Brisbane",1994-04-27,199
"333","Rudi Frigo","Brisbane",1974-01-31,195
"334","Jack Frost","Brisbane",1992-02-25,195
"335","Neil Gaghan","Brisbane",1963-03-24,183
"336","Patrick Garner","Brisbane",1987-03-16,194
"337","Adam Garton","Brisbane",1962-01-17,194
"338","John Gastev","Brisbane",1964-08-11,180
"339","Michael Gibson","Brisbane",1965-10-31,187
"340","Allan Gifford","Brisbane",1963-10-02,188
"341","Stuart Glascott","Brisbane",1965-06-06,185
"342","Mitchell Golby","Brisbane",1991-10-03,184
"343","Andrew Gowers","Brisbane",1969-04-11,191
"344","Jason Gram","Brisbane",1984-04-27,186
"345","Ashley Green","Brisbane",1973-04-06,189
"346","Brent Green","Brisbane",1976-03-29,197
"347","Joshua Green","Brisbane",1992-08-24,178
"348","Blake Grewar","Brisbane",1993-02-16,182
"349","Richard Hadley","Brisbane",1983-03-29,190
"350","William Hamill","Brisbane",1986-07-26,189
"351","Shane Hamilton","Brisbane",1970-08-18,183
"352","Matthew Hammelmann","Brisbane",1996-03-08,198
"353","Cian Hanley","Brisbane",1996-03-14,185
"354","Pearce Hanley","Brisbane",1988-11-15,185
"355","Brad Hardie","Brisbane",1962-10-10,181
"356","Scott Harding","Brisbane",1986-06-19,181
"357","Ben Harris","Brisbane",1963-06-27,188
"358","Bernie Harris","Brisbane",1962-08-25,175
"359","Shaun Hart","Brisbane",1971-05-17,175
"360","Brad Harvey","Brisbane",1992-04-16,185
"361","Ryan Harwood","Brisbane",1991-08-07,184
"362","James Hawksley","Brisbane",1989-02-05,187
"363","Nicholas Hayes","Brisbane",1994-08-11,188
"364","Des Headland","Brisbane",1981-01-21,186
"365","Martin Heffernan","Brisbane",1972-08-28,193
"366","Neil Hein","Brisbane",1963-06-07,199
"367","Adam Heuskes","Brisbane",1976-03-20,190
"368","Rory Hilton","Brisbane",1979-04-15,186
"369","Luke Hodge","Brisbane",1984-06-15,185
"370","Shane Hodges","Brisbane",1975-01-03,180
"371","Rhan Hooper","Brisbane",1988-01-09,177
"372","Simon Hose","Brisbane",1967-04-13,179
"373","Ben Hudson","Brisbane",1979-02-24,199
"374","John Hutton","Brisbane",1966-05-26,185
"375","Alex Ishchenko","Brisbane",1964-04-20,201
"376","Jarrad Jansen","Brisbane",1995-05-02,192
"377","Russell Jeffrey","Brisbane",1966-02-06,185
"378","Chris Johnson","Brisbane",1976-05-30,180
"379","Troy Johnson","Brisbane",1977-07-26,180
"380","Travis Johnstone","Brisbane",1980-07-17,184
"381","Ken Judge","Brisbane",1958-01-15,183
"382","Patrick Karnezis","Brisbane",1992-04-23,191
"383","Gavin Keane","Brisbane",1966-03-05,178
"384","Clark Keating","Brisbane",1976-03-19,197
"385","Matthew Kennedy","Brisbane",1970-02-04,191
"386","Michael Kennedy","Brisbane",1967-02-03,175
"387","Adam Kerinaiua","Brisbane",1974-06-17,178
"388","Ian Kidgell","Brisbane",1970-11-21,203
"389","Haydyn Kiel","Brisbane",1988-01-15,180
"390","Kieran King","Brisbane",1991-03-05,180
"391","Trent Knobel","Brisbane",1980-05-23,204
"392","Craig Lambert","Brisbane",1968-10-05,178
"393","Nigel Lappin","Brisbane",1976-06-21,188
"394","Steven Lawrence","Brisbane",1976-05-19,177
"395","Troy Lehmann","Brisbane",1972-02-25,182
"396","Justin Leppitsch","Brisbane",1975-10-01,191
"397","Martin Leslie","Brisbane",1962-11-17,187
"398","Rod Lester-Smith","Brisbane",1959-07-18,188
"399","Matthew Leuenberger","Brisbane",1988-06-07,202
"400","Jordan Lisle","Brisbane",1990-07-12,195
"401","Tom Logan","Brisbane",1985-07-02,183
"402","Billy Longer","Brisbane",1993-05-12,202
"403","Simon Luhrs","Brisbane",1970-06-18,195
"404","Alastair Lynch","Brisbane",1968-06-19,193
"405","Tristan Lynch","Brisbane",1973-08-22,188
"406","Tony Lynn","Brisbane",1968-04-29,178
"407","Ross Lyon","Brisbane",1966-11-08,183
"408","Corey Lyons","Brisbane",1998-05-31,184
"409","Joel Macdonald","Brisbane",1984-10-10,188
"410","Robert Mace","Brisbane",1958-08-12,178
"411","Rod MacPherson","Brisbane",1963-09-21,177
"412","Matthew Maguire","Brisbane",1984-05-30,192
"413","Michael Martin","Brisbane",1977-02-25,179
"414","Gilbert McAdam","Brisbane",1967-03-30,180
"415","Michael McCarthy","Brisbane",1957-10-10,193
"416","Broc McCauley","Brisbane",1986-12-20,202
"417","Brendan McCormack","Brisbane",1970-06-28,187
"418","Bart McCulloch","Brisbane",1990-09-23,198
"419","Beau McDonald","Brisbane",1979-11-03,203
"420","Ashley McGrath","Brisbane",1983-05-20,182
"421","Jaden McGrath","Brisbane",1996-06-15,180
"422","Luke McGuane","Brisbane",1987-02-12,192
"423","Josh McGuinness","Brisbane",1995-09-20,189
"424","Scott McIvor","Brisbane",1966-08-09,191
"425","Nial McKeever","Brisbane",1989-02-16,197
"426","Martin McKinnon","Brisbane",1975-07-05,189
"427","Dylan McLaren","Brisbane",1982-05-08,196
"428","Michael McLean","Brisbane",1965-03-03,180
"429","Steven McLuckie","Brisbane",1973-02-12,174
"430","Craig McRae","Brisbane",1973-09-22,176
"431","Daniel Merrett","Brisbane",1984-12-12,195
"432","Roger Merrett","Brisbane",1960-04-19,195
"433","Mal Michael","Brisbane",1977-06-24,190
"434","Sam Michael","Brisbane",1993-07-05,199
"435","Mark Mickan","Brisbane",1961-01-30,196
"436","Jason Millar","Brisbane",1970-08-30,197
"437","Wayde Mills","Brisbane",1987-08-29,195
"438","Jarrod Molloy","Brisbane",1976-05-12,189
"439","Brent Moloney","Brisbane",1984-01-28,182
"440","Matthew Moody","Brisbane",1985-09-23,187
"441","Shane Morrison","Brisbane",1981-01-10,193
"442","Michael Murphy","Brisbane",1965-09-08,188
"443","Daniel Murray","Brisbane",1990-05-03,199
"444","Richard Newell","Brisbane",1993-03-23,186
"445","Danny Noonan","Brisbane",1968-11-29,188
"446","Rick Norman","Brisbane",1963-07-25,186
"447","Tim Notting","Brisbane",1978-10-21,188
"448","Shane O'Bree","Brisbane",1979-03-15,182
"449","Cameron O'Brien","Brisbane",1966-09-28,190
"450","Jesse O'Brien","Brisbane",1991-02-13,185
"451","Zac O'Brien","Brisbane",1990-10-27,183
"452","David Ogg","Brisbane",1967-11-23,180
"453","David O'Keeffe","Brisbane",1962-02-20,189
"454","Chris O'Sullivan","Brisbane",1968-04-22,172
"455","Rod Owen","Brisbane",1967-01-31,185
"456","Jackson Paine","Brisbane",1993-06-21,192
"457","Nigel Palfreyman","Brisbane",1973-10-02,186
"458","Marco Paparone","Brisbane",1994-09-03,195
"459","John Parker","Brisbane",1971-05-17,185
"460","Martin Pask","Brisbane",1985-01-02,191
"461","Joel Patfull","Brisbane",1984-12-07,189
"462","Brad Pearce","Brisbane",1971-08-16,185
"463","Paul Peos","Brisbane",1968-01-28,183
"464","Brenton Phillips","Brisbane",1962-11-05,180
"465","Marcus Picken","Brisbane",1979-10-09,186
"466","Martin Pike","Brisbane",1972-11-14,189
"467","James Polkinghorne","Brisbane",1989-01-21,184
"468","Craig Potter","Brisbane",1966-01-19,182
"469","Luke Power","Brisbane",1980-01-08,180
"470","Daniel Pratt","Brisbane",1983-03-21,185
"471","Albert Proud","Brisbane",1988-09-06,180
"472","Brendan Quigley","Brisbane",1986-01-19,193
"473","Andrew Raines","Brisbane",1986-03-08,182
"474","Geoff Raines","Brisbane",1956-08-10,180
"475","Matthew Rendell","Brisbane",1959-04-18,200
"476","Brendon Retzlaff","Brisbane",1969-04-22,180
"477","Bryce Retzlaff","Brisbane",1991-06-29,195
"478","Steve Reynoldson","Brisbane",1962-09-06,191
"479","Michael Richardson","Brisbane",1959-03-16,182
"480","Michael Rischitelli","Brisbane",1986-01-08,185
"481","Ben Robbins","Brisbane",1976-12-27,181
"482","Mark Roberts","Brisbane",1965-06-28,190
"483","Nicholas Robertson","Brisbane",1995-06-03,191
"484","Jason Roe","Brisbane",1984-03-13,192
"485","Brad Rowe","Brisbane",1969-11-23,174
"486","Shannon Rusca","Brisbane",1980-08-20,182
"487","Matthew Ryan","Brisbane",1967-06-02,175
"488","Leigh Ryswyk","Brisbane",1985-01-16,180
"489","Laurence Schache","Brisbane",1967-10-17,194
"490","Chris Schmidt","Brisbane",1989-03-20,190
"491","Brad Scott","Brisbane",1976-05-03,191
"492","Chris Scott","Brisbane",1976-05-03,182
"493","Dion Scott","Brisbane",1970-04-01,190
"494","Troy Selwood","Brisbane",1984-05-01,189
"495","Aaron Shattock","Brisbane",1980-05-02,187
"496","Gary Shaw","Brisbane",1959-02-13,173
"497","Sam Sheldon","Brisbane",1989-03-08,183
"498","Heath Shephard","Brisbane",1969-09-07,179
"499","Justin Sherman","Brisbane",1987-01-26,183
"500","Lachlan Sim","Brisbane",1969-11-24,174
"501","Matthew Simpson","Brisbane",1967-04-09,175
"502","Sam Skinner","Brisbane",1997-06-29,198
"503","Peter Smith","Brisbane",1960-01-26,185
"504","Phil Smith","Brisbane",1989-04-15,187
"505","Jonathan Solomon","Brisbane",1967-11-14,195
"506","Llane Spaanderman","Brisbane",1986-02-10,198
"507","Adam Spackman","Brisbane",1989-04-04,184
"508","Paul Spargo","Brisbane",1966-10-09,182
"509","Chris Stacey","Brisbane",1966-02-21,180
"510","Brent Staker","Brisbane",1984-05-23,196
"511","Craig Starcevich","Brisbane",1967-05-16,193
"512","Cheynee Stiller","Brisbane",1986-05-03,187
"513","Shane Strempel","Brisbane",1969-01-21,199
"514","Andrew Taylor","Brisbane",1965-07-02,187
"515","Joel Tippett","Brisbane",1988-10-26,197
"516","Nick Trask","Brisbane",1978-02-06,175
"517","Matt Tyler","Brisbane",1988-01-20,193
"518","Richard Umbers","Brisbane",1968-05-16,190
"519","Brett Voss","Brisbane",1978-02-22,181
"520","Michael Voss","Brisbane",1975-07-07,183
"521","Phillip Walsh","Brisbane",1960-03-15,180
"522","Chris Waterson","Brisbane",1969-12-27,177
"523","Josh Watts","Brisbane",1996-03-06,194
"524","Patrick Wearden","Brisbane",1993-08-06,192
"525","David Wearne","Brisbane",1970-05-10,187
"526","Luke Weller","Brisbane",1982-01-31,190
"527","Trent West","Brisbane",1987-10-17,199
"528","Darryl White","Brisbane",1973-06-12,189
"529","Reuben William","Brisbane",1997-12-31,182
"530","Mark Williams","Brisbane",1958-08-21,183
"531","Stephen Williams","Brisbane",1961-06-05,178
"532","Ray Windsor","Brisbane",1972-08-11,190
